player_name;position;squad;age;born_year;match_played;minutes_played;minutes_per_match;first_eleven;90_mins_complated;points_per_match;yellow_card;red_card;second_yellow_card;fouls_committed;fouls_drawn;offsides;crosses;interceptions;tackles_won;own_goals;goals;assists;shots;shots_on_target;penalty_goals;penalty_attempts
Julian Jeanvier;DF;Kasımpaşa;28;1992;4;315;79.0;4;3;1.75;1;0;0;7;1;0;0;6;1;0;0;0;1;0;0;0
Jefferson;MF;Gaziantep FK;26;1994;30;146;49.0;15;3;1.37;3;1;0;32;24;0;8;17;20;0;4;2;21;9;0;0
Marko Jevtović;MF;Konyaspor;27;1993;35;2855;82.0;34;22;1.23;9;0;0;58;35;1;18;58;31;1;4;2;48;15;1;1
Mattias Johansson;DF;Gençlerbirliği;28;1992;29;2531;87.0;29;26;1.07;4;1;0;37;31;3;30;43;28;0;3;0;20;5;0;0
Dušan Jovančić;MF;Rizespor;29;1990;4;41;10.0;0;0;2.5;0;0;0;2;2;0;0;1;1;0;0;1;0;0;0;0
Juanfran;DF;Alanyaspor;31;1988;37;2898;78.0;33;25;1.51;2;0;0;13;34;1;213;47;25;0;0;1;16;6;0;0
Mathias Jørgensen;DF;Fenerbahçe;30;1990;2;180;90.0;2;2;2.0;0;0;0;4;0;0;0;1;2;0;0;0;0;0;0;0
Ali Kaan Güneren;DF.MF;Ankaragücü;20;2000;4;287;72.0;3;1;0.75;0;0;0;4;2;0;6;0;8;0;0;0;1;0;0;0
Moestafa El Kabir;FW;Erzurum BB;31;1988;11;521;47.0;7;0;0.73;2;0;0;10;17;8;6;2;1;0;0;0;9;2;0;0
Bora Kadioglu;MF;Fatih Karagümrük;19;2001;1;4;4.0;0;0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ferdi Kadioglu;MF;Fenerbahçe;20;1999;26;734;28.0;6;0;1.92;3;0;0;16;16;1;24;6;10;0;1;2;12;3;0;0
Damian Kądzior;MF.FW;Alanyaspor;28;1992;17;585;34.0;5;2;1.06;0;0;0;8;19;5;86;0;4;0;0;2;16;7;0;0
Oğuz Kağan Güçtekin;MF;Konyaspor;21;1999;19;756;40.0;7;2;1.47;3;0;0;8;5;1;3;14;12;0;0;0;3;2;0;0
Berat Kalkan;FW;Kasımpaşa;17;2003;1;4;4.0;0;0;3.0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
Kesselly Kamara;MF;Hatayspor;22;1997;21;667;32.0;4;2;1.33;4;0;0;18;16;2;10;8;8;1;1;3;17;7;0;0
Jean-Armel Kana-Biyik;DF;Gaziantep FK;31;1989;17;1416;83.0;17;14;1.88;2;0;0;6;12;0;0;22;7;0;2;0;4;2;0;0
Kaan Kanak;DF.MF;Erzurum BB;29;1990;13;1075;83.0;12;8;0.69;4;0;0;8;8;0;44;17;9;0;1;0;10;7;0;0
Kubilay Kanatsızkuş;MF.FW;Yeni Malatyaspor;23;1997;29;1665;57.0;20;3;1.34;1;1;0;25;30;5;9;16;18;0;5;1;27;14;0;0
Wilfried Kanga;FW;Kayserispor;22;1998;14;913;65.0;11;5;0.71;1;0;0;13;6;12;2;1;2;0;2;0;22;10;0;0
Aytaç Kara;MF;Kasımpaşa;27;1993;26;2267;87.0;26;24;1.08;12;1;1;40;49;1;17;23;25;0;4;2;46;20;0;1
Emre Karaal;MF;Başakşehir;17;2003;1;5;5.0;0;0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Efecan Karaca;MF;Alanyaspor;30;1989;29;2159;74.0;24;7;1.69;4;0;0;32;51;10;49;12;21;0;2;4;33;9;2;2
Ahmet Karademir;FW;Konyaspor;16;2004;2;31;16.0;0;0;2.0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0
Gökhan Karadeniz;MF.FW;Hatayspor;30;1990;9;447;50.0;6;0;1.33;2;2;1;13;7;1;9;4;4;0;0;2;8;4;0;0
İlker Karakaş;FW.MF;Gençlerbirliği;21;1999;20;411;21.0;3;0;0.65;0;0;0;9;10;7;6;2;5;0;1;0;12;2;0;0
Oltan Karakullukçu;FW;Erzurum BB;29;1991;18;509;28.0;2;2;1.26;5;0;0;14;6;5;2;0;1;0;4;2;19;10;0;0
Enes Karakuş;FW;Başakşehir;19;2001;2;14;7.0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Cebrail Karayel;DF;Ankaragücü;25;1994;3;105;35.0;1;1;1.0;0;0;0;2;2;0;3;2;0;0;0;0;0;0;0;0
Gökhan Kardes;DF;Erzurum BB;23;1997;13;928;71.0;10;9;1.23;3;0;0;11;3;0;1;15;7;0;0;0;0;0;0;0
Erkan Kaş;DF;Yeni Malatyaspor;28;1991;3;156;52.0;2;1;1.33;0;0;0;1;4;0;10;1;3;0;0;0;1;0;0;0
Emirhan Kascioglu;DF;Denizlispor;19;2001;3;148;49.0;1;1;0.0;1;0;0;1;0;0;0;6;3;0;0;0;1;0;0;0
Alexandros Katranis;DF;Hatayspor;22;1998;22;1522;69.0;17;9;1.45;3;0;0;24;13;0;95;24;17;0;1;3;9;4;0;0
Erdogan Kaya;DF;Beşiktaş;19;2001;1;14;14.0;0;0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Semih Kaya;DF;Yeni Malatyaspor;29;1991;32;2634;82.0;31;26;1.16;2;1;0;14;18;0;4;40;16;1;1;1;12;3;0;0
Yalçın Kayan;MF;Göztepe;21;1999;18;951;53.0;12;0;1.22;7;0;0;12;5;0;2;30;14;0;2;0;5;3;0;0
Olarenwaju Kayode;FW;Sivasspor;27;1993;33;1609;49.0;18;2;1.67;2;0;0;31;48;8;20;8;12;0;6;2;36;14;0;0
Isaac Kiese Thelin;FW;Kasımpaşa;28;1992;21;1705;81.0;21;13;1.29;4;0;0;49;10;9;2;3;2;0;9;2;45;21;0;1
